P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,30,5.74,47.0,0.697,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.234,31.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.052,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.1,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.993,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.192,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.999,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.815,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,2.033,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.581,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.248,38.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.627,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.576,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,2.303,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.57,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.371,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.121,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.993,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.735,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.845,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.705,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.402,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.595,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.101,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.912,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.025,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.125,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.617,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.55,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.282,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.299,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.166,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.41,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.156,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.305,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.129,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.346,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.027,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.876,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.993,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.993,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.803,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.165,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.224,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.947,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.193,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.058,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.833,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.907,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.728,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.025,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.887,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.707,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.977,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.777,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.967,20.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.314,14.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.311,30.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.373,25.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.206,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,0.845,33.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.974,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,0.81,25.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.999,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.299,33.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.556,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.896,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.3,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.219,14.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.261,30.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.515,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.008,22.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.433,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,2.845,33.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.446,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.375,22.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.835,25.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.689,33.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.812,38.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.331,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.258,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.041,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.291,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.348,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.035,25.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.844,33.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.568,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.515,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.461,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.155,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.184,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.271,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.186,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.998,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.914,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.615,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.274,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.923,11.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.715,14.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.76,20.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.446,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.325,33.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.179,12.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.712,38.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.492,22.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.851,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.38,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.804,20.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.587,25.0
